method,path,behavior
DELETE,/slimapi/session/{session_id},happy_path
DELETE,/slimapi/session/{session_id},v3_face
DELETE,/slimapi/session/{session_id},v4_face
DELETE,/slimapi/session/{session_id},error_directory_conflict
DELETE,/slimapi/session/{session_id},error_directory_header_retired
DELETE,/slimapi/session/{session_id},error_invalid_directory_selector
DELETE,/slimapi/session/{session_id},error_invalid_version_selector
DELETE,/slimapi/session/{session_id},error_request_too_large
DELETE,/slimapi/session/{session_id},error_response_too_large
DELETE,/slimapi/session/{session_id},error_unsupported_version
DELETE,/slimapi/session/{session_id},error_upstream_unavailable
GET,/slimapi/actions,happy_path
GET,/slimapi/actions,v3_face
GET,/slimapi/actions,v4_face
GET,/slimapi/actions,error_invalid_version_selector
GET,/slimapi/actions,error_unsupported_version
GET,/slimapi/agent,happy_path
GET,/slimapi/agent,v3_face
GET,/slimapi/agent,v4_face
GET,/slimapi/agent,error_directory_conflict
GET,/slimapi/agent,error_directory_header_retired
GET,/slimapi/agent,error_invalid_directory_selector
GET,/slimapi/agent,error_invalid_version_selector
GET,/slimapi/agent,error_response_too_large
GET,/slimapi/agent,error_transform_busy
GET,/slimapi/agent,error_unsupported_version
GET,/slimapi/agent,error_upstream_http_<N>
GET,/slimapi/agent,error_upstream_unavailable
GET,/slimapi/api/session/active,happy_path
GET,/slimapi/api/session/active,v3_face
GET,/slimapi/api/session/active,v4_face
GET,/slimapi/api/session/active,error_invalid_version_selector
GET,/slimapi/api/session/active,error_response_too_large
GET,/slimapi/api/session/active,error_unsupported_version
GET,/slimapi/api/session/active,error_upstream_unavailable
GET,/slimapi/command,happy_path
GET,/slimapi/command,v3_face
GET,/slimapi/command,v4_face
GET,/slimapi/command,error_directory_conflict
GET,/slimapi/command,error_directory_header_retired
GET,/slimapi/command,error_invalid_directory_selector
GET,/slimapi/command,error_invalid_version_selector
GET,/slimapi/command,error_response_too_large
GET,/slimapi/command,error_transform_busy
GET,/slimapi/command,error_unsupported_version
GET,/slimapi/command,error_upstream_http_<N>
GET,/slimapi/command,error_upstream_unavailable
GET,/slimapi/config/providers,happy_path
GET,/slimapi/config/providers,v3_face
GET,/slimapi/config/providers,v4_face
GET,/slimapi/config/providers,feature_off
GET,/slimapi/config/providers,boundary
GET,/slimapi/config/providers,error_directory_conflict
GET,/slimapi/config/providers,error_directory_header_retired
GET,/slimapi/config/providers,error_invalid_directory_selector
GET,/slimapi/config/providers,error_invalid_version_selector
GET,/slimapi/config/providers,error_provider_projection_limit
GET,/slimapi/config/providers,error_provider_upstream_malformed
GET,/slimapi/config/providers,error_response_too_large
GET,/slimapi/config/providers,error_transform_busy
GET,/slimapi/config/providers,error_unsupported_version
